hour_bin,transactions,average_risk,observed_fraud,risk_baseline,risk_std,risk_lift,z_score,spike_score,transaction_risk_score,final_risk_score,severity,explanation,alert
3653,41,0.0339946574418375,2,,0.0,,,,3.3994657441837504,2.03967944651025,LOW,no major anomaly detected,False
3654,45,0.024694880375937082,3,,0.0,,,,2.4694880375937083,1.481692822556225,LOW,no major anomaly detected,False
3655,36,0.030874427716024284,8,,0.0,,,,3.0874427716024284,1.8524656629614569,LOW,no major anomaly detected,False
3656,20,0.03230124238400892,0,,0.0,,,,3.2301242384008924,1.9380745430405353,LOW,no major anomaly detected,False
3657,17,0.01854193932387712,0,,0.0,,,,1.854193932387712,1.112516359432627,LOW,no major anomaly detected,False
3658,44,0.02197254869553821,0,,0.0,,,,2.197254869553821,1.3183529217322925,LOW,no major anomaly detected,False
3659,103,0.024539179374591533,1,0.027063282656203853,0.006231263098326952,0.9067332919780259,-0.4050708888042334,13.444943546257157,2.453917937459153,6.850328180978355,LOW,103 transactions in window,False
3660,189,0.024504299819011404,4,0.026702696473116377,0.0057677861092315565,0.9176713611556696,-0.3811508631685141,15.189492867426853,2.4504299819011406,7.546055136111426,LOW,189 transactions in window,False
3661,223,0.024634446908043468,4,0.026427896891353258,0.005396201957709957,0.9321379983173548,-0.3323541256174362,15.666053361909682,2.4634446908043466,7.744488159246481,LOW,223 transactions in window,False
3662,238,0.028900740780940248,0,0.026228624670985502,0.005082962313713956,1.1018778583884605,0.525700555116317,16.61777603400005,2.890074078094025,8.381154860456437,LOW,238 transactions in window,False
3663,259,0.03172225340943408,3,0.02649583628198098,0.004866189829558216,1.197254280704,1.074026560925921,18.50223225024524,3.1722253409434082,9.30422810466414,LOW,259 transactions in window,False
3664,264,0.03470135626622148,7,0.026970965111749443,0.004878016458071344,1.286619003897062,1.5847406873097054,25.611536448435512,3.470135626622148,12.326695955347494,LOW,264 transactions in window,False
3665,252,0.032885878577908347,13,0.02761516437462211,0.00515865980454984,1.190863039299159,1.0217216104534685,17.72147864528291,3.2885878577908345,9.061744172787666,LOW,252 transactions in window,False
3666,234,0.03455670163057791,5,0.028020603928721053,0.005150832885451796,1.2332604150318607,1.2689399650914042,20.916034917612976,3.4556701630577913,10.439816064879865,LOW,234 transactions in window,False
3667,257,0.034818350604956735,8,0.028487468050282256,0.005248018355842834,1.2222339501531008,1.2063377308172043,20.321115015881425,3.4818350604956736,10.217547042649974,LOW,257 transactions in window,False
3668,269,0.04190803786808431,8,0.028909526887260555,0.005314737768127368,1.4496272468074098,2.4457483224809677,37.650805148532804,4.190803786808431,17.574804331498182,LOW,2.4σ statistical deviation; 269 transactions in window,False
3669,241,0.03253491937517628,15,0.02972193382356204,0.006076464612758618,1.094643422877964,0.46293128173706094,16.599628976199163,3.2534919375176283,8.591946752990243,LOW,241 transactions in window,False
3670,226,0.033244760753948915,7,0.029887403561892286,0.0059229361204033255,1.1123335182028793,0.5668400137714145,16.547068101564594,3.3244760753948914,8.613512885862773,LOW,226 transactions in window,False
3671,193,0.033845469226841556,1,0.030073923405895438,0.00580032651290569,1.125409171595043,0.6502299159460165,16.190373787526084,3.3845469226841556,8.506877668620927,LOW,193 transactions in window,False
3672,185,0.03317210465712725,0,0.03027242581752418,0.005702924625409578,1.0957861407302383,0.5084547017653803,15.846293457072406,3.317210465712725,8.328843662256597,LOW,185 transactions in window,False
3673,186,0.03367630096274595,2,0.030417409759504334,0.00558855982577968,1.1071390111455277,0.5831361396917601,15.946962154702888,3.367630096274595,8.399362919645913,LOW,186 transactions in window,False
3674,159,0.038656317361623255,8,0.030572595054896793,0.005493280702278886,1.2644107342609012,1.4715654897032537,22.569656522774945,3.8656317361623254,11.347241650807375,LOW,159 transactions in window,False
3675,110,0.04197440504481599,1,0.03094003697792981,0.005631116464378177,1.3566371971293127,1.9595346920434658,28.302476487147622,4.197440504481599,13.83945489754801,LOW,110 transactions in window,False
