threshold,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives,false_positive_cost,false_negative_cost,total_cost
0.1,0.0346,0.9934,0.067,3022,84209,20,1330,84209,200,84409
0.15,0.0356,0.9849,0.0688,2996,81069,46,4470,81069,460,81529
0.2,0.0369,0.9803,0.0711,2982,77904,60,7635,77904,600,78504
0.25,0.038,0.9724,0.0732,2958,74855,84,10684,74855,840,75695
0.3,0.0389,0.9589,0.0749,2917,71980,125,13559,71980,1250,73230
0.35,0.0403,0.9444,0.0772,2873,68503,169,17036,68503,1690,70193
0.4,0.0419,0.9237,0.0803,2810,64176,232,21363,64176,2320,66496
0.45,0.0444,0.8955,0.0846,2724,58653,318,26886,58653,3180,61833
0.5,0.0494,0.8544,0.0934,2599,50017,443,35522,50017,4430,54447
0.55,0.063,0.7249,0.1159,2205,32809,837,52730,32809,8370,41179
0.6,0.0889,0.5828,0.1542,1773,18180,1269,67359,18180,12690,30870
0.65,0.1221,0.4661,0.1935,1418,10200,1624,75339,10200,16240,26440
0.7,0.1417,0.4122,0.2109,1254,7595,1788,77944,7595,17880,25475
0.75,0.1518,0.3843,0.2176,1169,6534,1873,79005,6534,18730,25264
0.8,0.2233,0.2581,0.2394,785,2730,2257,82809,2730,22570,25300
0.85,0.3002,0.1279,0.1793,389,907,2653,84632,907,26530,27437
0.9,0.3393,0.0753,0.1232,229,446,2813,85093,446,28130,28576
0.95,0.7343,0.0654,0.1201,199,72,2843,85467,72,28430,28502
