hour_bin,transactions,fraud,total_amount,fraud_rate,baseline_rate,baseline_std,effective_std,rate_lift,z_score,volume_confidence,risk_score,severity,alert
623,227,15,21669.2,0.06607929515418502,0.008267870251150567,0.00777750957756542,0.01,7.992299485467777,5.781142490303445,0.7858645736290825,95.71729147258165,CRITICAL,True
1346,157,21,18283.227,0.1337579617834395,0.019070625764505546,0.018076842385263338,0.018076842385263338,7.013821331043643,6.3444341425707025,0.7327796679344233,94.65559335868848,CRITICAL,True
364,136,22,13592.913,0.16176470588235295,0.030438736981127545,0.02462574305648492,0.02462574305648492,5.3144355491047275,5.332873351273036,0.7121371481527359,94.24274296305472,CRITICAL,True
4226,145,25,11749.675,0.1724137931034483,0.03483660809674794,0.034119075724432346,0.034119075724432346,4.94921298378482,4.032265883104877,0.7213465784933099,81.94935248706331,CRITICAL,True
4149,206,16,29315.936,0.07766990291262135,0.017067391762238666,0.015723791608644292,0.015723791608644292,4.550777529139794,3.854191956923795,0.7718784301378744,77.74579953285338,HIGH,True
3818,140,20,12055.918,0.14285714285714285,0.02897074573807869,0.03173674271763087,0.03173674271763087,4.931082691094613,3.5884715117848653,0.7163027272577009,76.16506862567444,HIGH,True
243,126,14,9820.5205,0.1111111111111111,0.026098325555710986,0.02145979181044805,0.02145979181044805,4.257403827457319,3.961491626121473,0.7011664534630849,75.47250310171,HIGH,True
4011,111,13,7777.692,0.11711711711711711,0.025415574762808823,0.026479420256750093,0.026479420256750093,4.608084539110924,3.4631250029324896,0.682973853033872,71.50917364066548,HIGH,True
722,164,18,21336.342,0.10975609756097561,0.03570114790019821,0.02109340235463344,0.02109340235463344,3.0743016406026054,3.510811030659085,0.7390543791173132,61.72348777010437,HIGH,True
1612,104,12,7567.495,0.11538461538461539,0.02666987125661562,0.031609860859903256,0.031609860859903256,4.32640316386955,2.8065528197415572,0.6736322968201822,61.00257991219473,HIGH,True
1343,210,14,29555.03,0.06666666666666667,0.01830384255779641,0.015981717470902358,0.015981717470902358,3.64222247083689,3.026134343628814,0.7746487325761663,60.636322478160174,HIGH,True
621,297,9,24554.443,0.030303030303030304,0.006834666268987644,0.005966982895651373,0.01,4.433724941410901,2.3468364034042657,0.824619438449672,59.080780872128514,MEDIUM,True
3282,158,13,13980.033,0.08227848101265822,0.023899593169921934,0.021730590289929845,0.021730590289929845,3.4426728701058877,2.6864842171263796,0.7336928815879392,54.074956871632686,MEDIUM,True
3003,112,9,10837.589,0.08035714285714286,0.022041775135855594,0.02286461059513577,0.02286461059513577,3.645674740888951,2.5504640666696208,0.6842604738072507,52.908570866182416,MEDIUM,True
4219,175,18,26165.201,0.10285714285714286,0.02843425965027938,0.030438789943658277,0.030438789943658277,3.617366659874763,2.445001373070975,0.748395935331003,52.66068581906798,MEDIUM,True
3147,101,9,7297.08,0.0891089108910891,0.02430912243893994,0.025905938356181935,0.025905938356181935,3.66565724924519,2.5013488243974757,0.6694365281470719,52.148020237248815,MEDIUM,True
3998,176,15,26058.232,0.08522727272727272,0.025220436586004664,0.025032399052804143,0.025032399052804143,3.37929410685012,2.3971668082906366,0.7492160161873449,50.293611228755765,MEDIUM,True
258,268,21,27676.758,0.07835820895522388,0.022262992138148266,0.026024379564427574,0.026024379564427574,3.5196620682875275,2.155487191469937,0.8098002546497061,49.537060498524795,MEDIUM,True
1489,178,20,35970.85,0.11235955056179775,0.035354843343032204,0.031471846940479026,0.031471846940479026,3.1780525647256694,2.4467806851120084,0.7508423690723203,49.437000180789035,MEDIUM,True
1552,308,42,53056.14,0.13636363636363635,0.047785649053190916,0.03559195242778593,0.03559195242778593,2.853652489094539,2.4887082969152985,0.82986608441558,49.108569067961874,MEDIUM,True
628,108,5,8158.679,0.046296296296296294,0.013211945407662753,0.014825718184556363,0.014825718184556363,3.5041240988965225,2.2315513135206366,0.679043913423446,47.7562004292008,MEDIUM,True
1035,110,18,15057.293,0.16363636363636364,0.04638743334453877,0.05532237797576346,0.05532237797576346,3.5276011591537793,2.119376183416975,0.6816756929067226,46.58272484449998,MEDIUM,True
1682,155,17,15876.62,0.10967741935483871,0.03625499594480385,0.032096283182103634,0.032096283182103634,3.025167056198718,2.287567784514501,0.7309357718656888,45.902065665235426,MEDIUM,True
3315,102,9,21270.303,0.08823529411764706,0.02935480581839557,0.02599497350659405,0.02599497350659405,3.0058210796391394,2.2650720641940834,0.6708486748011367,44.274032395742324,MEDIUM,True
4146,178,8,26839.297,0.0449438202247191,0.014898268272771529,0.014235515151598228,0.014235515151598228,3.0167143859840153,2.1106051752945763,0.7508423690723203,44.024769967508725,MEDIUM,True
1488,214,20,24438.236,0.09345794392523364,0.03284965123503635,0.028936562513266668,0.028936562513266668,2.845020887940341,2.09452289512308,0.777367007468166,43.066532997954376,MEDIUM,True
4366,182,17,26188.924,0.09340659340659341,0.03514894136180205,0.027004585440409803,0.027004585440409803,2.6574511148180013,2.157324435635079,0.7540412591337875,41.97826398924925,MEDIUM,True
1844,229,22,31712.596,0.09606986899563319,0.03601879300628584,0.029340950887687678,0.029340950887687678,2.667215111257823,2.0466642754426387,0.7871287203889158,41.32999118524497,MEDIUM,True
509,114,7,9129.568,0.06140350877192982,0.021577739807373247,0.01986747038529388,0.01986747038529388,2.845687700384072,2.0045717040069704,0.6867999053273037,40.135802159513744,MEDIUM,True
